political_party,total_donations,total_amount,avg_amount
Communist Party of Canada (Ontario),1,9975,9975
Consensus Ontario,2,10000,5000
Equal Parenting Party,1,9985,9985
Green Party of Ontario,23,75044.92,3262.822608695652
Independent,2,12000,6000
Liberal Party,57,530100,9300
Liberal Party of Ontario,74,1067671.6,14427.994594594595
New Blue Party of Ontario,26,172604.08,6638.618461538462
New Democratic Party,12,111600,9300
New Democratic Party of Ontario,206,1856409.05,9011.694417475728
Ontario Alliance,1,5000,5000
Ontario Liberal Party,651,5139704.09,7895.0907680491555
Ontario Party,5,33807.8,6761.56
Progressive Conservative Party of Ontario,1261,10074914.59,7989.622989690722
Stop the New Sex-Ed Agenda,5,14725,2945
The New People's Choice Party of Ontario,1,5000,5000
Trillium Party of Ontario,1,5000,5000
Unknown,114,8020975.1,70359.43070175439
