donation_year,total_donations,total_amount,avg_amount
2006,374,3159074.05,8446.722058823529
2007,660,6352916.72,9625.631393939393
2008,250,2033621.35,8134.4854
2009,407,4228195.89,10388.68769041769
2010,463,4078647.54,8809.173952483801
2011,361,3398767.1,9414.867313019391
2012,403,3716684.05,9222.541066997519
2013,385,3959971.6,10285.64051948052
2014,419,8188071.21,19541.936062052508
2015,312,3857816.07,12364.795096153846
2016,518,5167884,9976.610038610039
2018,91,3415640.57,37534.51175824176
2020,75,262514.47,3500.1929333333333
2021,42,138600,3300
2022,58,624150.04,10761.207586206896
2023,65,266453.75,4099.288461538462
2024,478,1273414.52,2664.047112970711
